Level 1:  Exp 50
Level 2:  Exp 150
Level 3:  Exp 300
Level 4:  Exp 500
Level 5:  Exp 750
Level 6:  Exp 1050
Level 7:  Exp 1400
Level 8:  Exp 1800
Level 9:  Exp 2250
Level 10:  Exp 2750
Level 11:  Exp 3300
Level 12:  Exp 3900
Level 13:  Exp 4550
Level 14:  Exp 5250
Level 15:  Exp 6000
Level 16:  Exp 6800
Level 17:  Exp 7939
Level 18:  Exp 9163
Level 19:  Exp 10474
Level 20:  Exp 11874
Level 21:  Exp 13365
Level 22:  Exp 14949
Level 23:  Exp 16628
Level 24:  Exp 18404
Level 25:  Exp 20279
Level 26:  Exp 22255
Level 27:  Exp 24334
Level 28:  Exp 26518
Level 29:  Exp 28809
Level 30:  Exp 31209
Level 31:  Exp 33720
Level 32:  Exp 36344
Level 33:  Exp 39083
Level 34:  Exp 45407
Level 35:  Exp 52057
Level 36:  Exp 59041
Level 37:  Exp 66367
Level 38:  Exp 74043
Level 39:  Exp 82077
Level 40:  Exp 90477
Level 41:  Exp 99251
Level 42:  Exp 108407
Level 43:  Exp 117953
Level 44:  Exp 127897
Level 45:  Exp 138247
Level 46:  Exp 149011
Level 47:  Exp 160197
Level 48:  Exp 171813
Level 49:  Exp 183867
Level 50:  Exp 196367
Level 51:  Exp 222326
Level 52:  Exp 249262
Level 53:  Exp 277193
Level 54:  Exp 306137
Level 55:  Exp 336112
Level 56:  Exp 367136
Level 57:  Exp 399227
Level 58:  Exp 432403
Level 59:  Exp 466682
Level 60:  Exp 502082
Level 61:  Exp 538621
Level 62:  Exp 576317
Level 63:  Exp 615188
Level 64:  Exp 655252
Level 65:  Exp 696527
Level 66:  Exp 739031
Level 67:  Exp 782782
Level 68:  Exp 860166
Level 69:  Exp 939792
Level 70:  Exp 1021692
Level 71:  Exp 1105898
Level 72:  Exp 1192442
Level 73:  Exp 1281356
Level 74:  Exp 1372672
Level 75:  Exp 1466422
Level 76:  Exp 1562638
Level 77:  Exp 1661352
Level 78:  Exp 1762596
Level 79:  Exp 1866402
Level 80:  Exp 1972802
Level 81:  Exp 2081828
Level 82:  Exp 2193512
Level 83:  Exp 2307886
Level 84:  Exp 2424982
Level 85:  Exp 2609857
Level 86:  Exp 2799057
Level 87:  Exp 2992632
Level 88:  Exp 3190632
Level 89:  Exp 3393107
Level 90:  Exp 3600107
Level 91:  Exp 3811682
Level 92:  Exp 4027882
Level 93:  Exp 4248757
Level 94:  Exp 4474357
Level 95:  Exp 4704732
Level 96:  Exp 4939932
Level 97:  Exp 5180007
Level 98:  Exp 5425007
Level 99:  Exp 5674982
Level 100:  Exp 5929982
Level 101:  Exp 6190057
Level 102:  Exp 6569701
Level 103:  Exp 6956775
Level 104:  Exp 7351351
Level 105:  Exp 7753501
Level 106:  Exp 8163297
Level 107:  Exp 8580811
Level 108:  Exp 9006115
Level 109:  Exp 9439281
Level 110:  Exp 9880381
Level 111:  Exp 10329487
Level 112:  Exp 10786671
Level 113:  Exp 11252005
Level 114:  Exp 11725561
Level 115:  Exp 12207411
Level 116:  Exp 12697627
Level 117:  Exp 13196281
Level 118:  Exp 13703445
Level 119:  Exp 14403284
Level 120:  Exp 15114884
Level 121:  Exp 15838343
Level 122:  Exp 16573759
Level 123:  Exp 17321230
Level 124:  Exp 18080854
Level 125:  Exp 18852729
Level 126:  Exp 19636953
Level 127:  Exp 20433624
Level 128:  Exp 21242840
Level 129:  Exp 22064699
Level 130:  Exp 22899299
Level 131:  Exp 23746738
Level 132:  Exp 24607114
Level 133:  Exp 25480525
Level 134:  Exp 26367069
Level 135:  Exp 27266844
Level 136:  Exp 28457388
Level 137:  Exp 29665454
Level 138:  Exp 30891170
Level 139:  Exp 32134664
Level 140:  Exp 33396064
Level 141:  Exp 34675498
Level 142:  Exp 35973094
Level 143:  Exp 37288980
Level 144:  Exp 38623284
Level 145:  Exp 39976134
Level 146:  Exp 41347658
Level 147:  Exp 42737984
Level 148:  Exp 44147240
Level 149:  Exp 45575554
Level 150:  Exp 47023054
Level 151:  Exp 48489868
Level 152:  Exp 49976124
Level 153:  Exp 51879903
Level 154:  Exp 53808599
Level 155:  Exp 55762374
Level 156:  Exp 57741390
Level 157:  Exp 59745809
Level 158:  Exp 61775793
Level 159:  Exp 63831504
Level 160:  Exp 65913104
Level 161:  Exp 68020755
Level 162:  Exp 70154619
Level 163:  Exp 72314858
Level 164:  Exp 74501634
Level 165:  Exp 76715109
Level 166:  Exp 78955445
Level 167:  Exp 81222804
Level 168:  Exp 83517348
Level 169:  Exp 85839239
Level 170:  Exp 88737739
Level 171:  Exp 91670389
Level 172:  Exp 94637389
Level 173:  Exp 97638939
Level 174:  Exp 100675239
Level 175:  Exp 103746489
Level 176:  Exp 106852889
Level 177:  Exp 109994639
Level 178:  Exp 113171939
Level 179:  Exp 116384989
Level 180:  Exp 119633989
Level 181:  Exp 122919139
Level 182:  Exp 126240639
Level 183:  Exp 129598689
Level 184:  Exp 132993489
Level 185:  Exp 136425239
Level 186:  Exp 139894139
Level 187:  Exp 144134738
Level 188:  Exp 148420762
Level 189:  Exp 152752453
Level 190:  Exp 157130053
Level 191:  Exp 161553804
Level 192:  Exp 166023948
Level 193:  Exp 170540727
Level 194:  Exp 175104383
Level 195:  Exp 179715158
Level 196:  Exp 184373294
Level 197:  Exp 189079033
Level 198:  Exp 193832617
Level 199:  Exp 198634288
Level 200:  Exp 203484288
