(2000: 7:19:13:39) - ASCII(0)  
(2000: 7:19:13:39) - ASCII(1)  
(2000: 7:19:13:39) - ASCII(2)  
(2000: 7:19:13:39) - ASCII(3)  
(2000: 7:19:13:39) - ASCII(4)  
(2000: 7:19:13:39) - ASCII(5)  
(2000: 7:19:13:39) - ASCII(6)  
(2000: 7:19:13:39) - ASCII(7)  
(2000: 7:19:13:39) - ASCII(8)  
(2000: 7:19:13:39) - ASCII(9)  	
(2000: 7:19:13:39) - ASCII(10)  

(2000: 7:19:13:39) - ASCII(11)  

(2000: 7:19:13:39) - ASCII(12)  
(2000: 7:19:13:39) - ASCII(13)   (2000: 7:19:13:39) - ASCII(14)  
(2000: 7:19:13:39) - ASCII(15)  
(2000: 7:19:13:39) - ASCII(16)  
(2000: 7:19:13:39) - ASCII(17)  
(2000: 7:19:13:39) - ASCII(18)  
(2000: 7:19:13:39) - ASCII(19)  
(2000: 7:19:13:39) - ASCII(20)  
(2000: 7:19:13:39) - ASCII(21)  
(2000: 7:19:13:39) - ASCII(22)  
(2000: 7:19:13:39) - ASCII(23)  
(2000: 7:19:13:39) - ASCII(24)  
(2000: 7:19:13:39) - ASCII(25)  
(2000: 7:19:13:39) - ASCII(26)  
(2000: 7:19:13:39) - ASCII(27)  
(2000: 7:19:13:39) - ASCII(28)  
(2000: 7:19:13:39) - ASCII(29)  
(2000: 7:19:13:39) - ASCII(30)  
(2000: 7:19:13:39) - ASCII(31)  
(2000: 7:19:13:39) - ASCII(32)   
(2000: 7:19:13:39) - ASCII(33)  !
(2000: 7:19:13:39) - ASCII(34)  "
(2000: 7:19:13:39) - ASCII(35)  #
(2000: 7:19:13:39) - ASCII(36)  $
(2000: 7:19:13:39) - ASCII(37)  %
(2000: 7:19:13:39) - ASCII(38)  &
(2000: 7:19:13:39) - ASCII(39)  '
(2000: 7:19:13:39) - ASCII(40)  (
(2000: 7:19:13:39) - ASCII(41)  )
(2000: 7:19:13:39) - ASCII(42)  *
(2000: 7:19:13:39) - ASCII(43)  +
(2000: 7:19:13:39) - ASCII(44)  ,
(2000: 7:19:13:39) - ASCII(45)  -
(2000: 7:19:13:39) - ASCII(46)  .
(2000: 7:19:13:39) - ASCII(47)  /
(2000: 7:19:13:39) - ASCII(48)  0
(2000: 7:19:13:39) - ASCII(49)  1
(2000: 7:19:13:39) - ASCII(50)  2
(2000: 7:19:13:39) - ASCII(51)  3
(2000: 7:19:13:39) - ASCII(52)  4
(2000: 7:19:13:39) - ASCII(53)  5
(2000: 7:19:13:39) - ASCII(54)  6
(2000: 7:19:13:39) - ASCII(55)  7
(2000: 7:19:13:39) - ASCII(56)  8
(2000: 7:19:13:39) - ASCII(57)  9
(2000: 7:19:13:39) - ASCII(58)  :
(2000: 7:19:13:39) - ASCII(59)  ;
(2000: 7:19:13:39) - ASCII(60)  <
(2000: 7:19:13:39) - ASCII(61)  =
(2000: 7:19:13:39) - ASCII(62)  >
(2000: 7:19:13:39) - ASCII(63)  ?
(2000: 7:19:13:39) - ASCII(64)  @
(2000: 7:19:13:39) - ASCII(65)  A
(2000: 7:19:13:39) - ASCII(66)  B
(2000: 7:19:13:39) - ASCII(67)  C
(2000: 7:19:13:39) - ASCII(68)  D
(2000: 7:19:13:39) - ASCII(69)  E
(2000: 7:19:13:39) - ASCII(70)  F
(2000: 7:19:13:39) - ASCII(71)  G
(2000: 7:19:13:39) - ASCII(72)  H
(2000: 7:19:13:39) - ASCII(73)  I
(2000: 7:19:13:39) - ASCII(74)  J
(2000: 7:19:13:39) - ASCII(75)  K
(2000: 7:19:13:39) - ASCII(76)  L
(2000: 7:19:13:39) - ASCII(77)  M
(2000: 7:19:13:39) - ASCII(78)  N
(2000: 7:19:13:39) - ASCII(79)  O
(2000: 7:19:13:39) - ASCII(80)  P
(2000: 7:19:13:39) - ASCII(81)  Q
(2000: 7:19:13:39) - ASCII(82)  R
(2000: 7:19:13:39) - ASCII(83)  S
(2000: 7:19:13:39) - ASCII(84)  T
(2000: 7:19:13:39) - ASCII(85)  U
(2000: 7:19:13:39) - ASCII(86)  V
(2000: 7:19:13:39) - ASCII(87)  W
(2000: 7:19:13:39) - ASCII(88)  X
(2000: 7:19:13:39) - ASCII(89)  Y
(2000: 7:19:13:39) - ASCII(90)  Z
(2000: 7:19:13:39) - ASCII(91)  [
(2000: 7:19:13:39) - ASCII(92)  \
(2000: 7:19:13:39) - ASCII(93)  ]
(2000: 7:19:13:39) - ASCII(94)  ^
(2000: 7:19:13:39) - ASCII(95)  _
(2000: 7:19:13:39) - ASCII(96)  `
(2000: 7:19:13:39) - ASCII(97)  a
(2000: 7:19:13:39) - ASCII(98)  b
(2000: 7:19:13:39) - ASCII(99)  c
(2000: 7:19:13:39) - ASCII(100)  d
(2000: 7:19:13:39) - ASCII(101)  e
(2000: 7:19:13:39) - ASCII(102)  f
(2000: 7:19:13:39) - ASCII(103)  g
(2000: 7:19:13:39) - ASCII(104)  h
(2000: 7:19:13:39) - ASCII(105)  i
(2000: 7:19:13:39) - ASCII(106)  j
(2000: 7:19:13:39) - ASCII(107)  k
(2000: 7:19:13:39) - ASCII(108)  l
(2000: 7:19:13:39) - ASCII(109)  m
(2000: 7:19:13:39) - ASCII(110)  n
(2000: 7:19:13:39) - ASCII(111)  o
(2000: 7:19:13:39) - ASCII(112)  p
(2000: 7:19:13:39) - ASCII(113)  q
(2000: 7:19:13:39) - ASCII(114)  r
(2000: 7:19:13:39) - ASCII(115)  s
(2000: 7:19:13:39) - ASCII(116)  t
(2000: 7:19:13:39) - ASCII(117)  u
(2000: 7:19:13:39) - ASCII(118)  v
(2000: 7:19:13:39) - ASCII(119)  w
(2000: 7:19:13:39) - ASCII(120)  x
(2000: 7:19:13:39) - ASCII(121)  y
(2000: 7:19:13:39) - ASCII(122)  z
(2000: 7:19:13:39) - ASCII(123)  {
(2000: 7:19:13:39) - ASCII(124)  |
(2000: 7:19:13:39) - ASCII(125)  }
(2000: 7:19:13:39) - ASCII(126)  ~
(2000: 7:19:13:39) - ASCII(127)  
(2000: 7:19:13:39) - ASCII(128)  €
(2000: 7:19:13:39) - ASCII(129)  ?
(2000: 7:19:13:39) - ASCII(130)  ?
(2000: 7:19:13:39) - ASCII(131)  ?
(2000: 7:19:13:39) - ASCII(132)  ?
(2000: 7:19:13:39) - ASCII(133)  ?
(2000: 7:19:13:39) - ASCII(134)  ?
(2000: 7:19:13:39) - ASCII(135)  ?
(2000: 7:19:13:39) - ASCII(136)  ?
(2000: 7:19:13:39) - ASCII(137)  ?
(2000: 7:19:13:39) - ASCII(138)  ?
(2000: 7:19:13:39) - ASCII(139)  ?
(2000: 7:19:13:39) - ASCII(140)  ?
(2000: 7:19:13:39) - ASCII(141)  ?
(2000: 7:19:13:39) - ASCII(142)  ?
(2000: 7:19:13:39) - ASCII(143)  ?
(2000: 7:19:13:39) - ASCII(144)  ?
(2000: 7:19:13:39) - ASCII(145)  ?
(2000: 7:19:13:39) - ASCII(146)  ?
(2000: 7:19:13:39) - ASCII(147)  ?
(2000: 7:19:13:39) - ASCII(148)  ?
(2000: 7:19:13:39) - ASCII(149)  ?
(2000: 7:19:13:39) - ASCII(150)  ?
(2000: 7:19:13:39) - ASCII(151)  ?
(2000: 7:19:13:39) - ASCII(152)  ?
(2000: 7:19:13:39) - ASCII(153)  ?
(2000: 7:19:13:39) - ASCII(154)  ?
(2000: 7:19:13:39) - ASCII(155)  ?
(2000: 7:19:13:39) - ASCII(156)  ?
(2000: 7:19:13:39) - ASCII(157)  ?
(2000: 7:19:13:39) - ASCII(158)  ?
(2000: 7:19:13:39) - ASCII(159)  ?
(2000: 7:19:13:39) - ASCII(160)  ?
(2000: 7:19:13:39) - ASCII(161)  ?
(2000: 7:19:13:39) - ASCII(162)  ?
(2000: 7:19:13:39) - ASCII(163)  ?
(2000: 7:19:13:39) - ASCII(164)  ?
(2000: 7:19:13:39) - ASCII(165)  ?
(2000: 7:19:13:39) - ASCII(166)  ?
(2000: 7:19:13:39) - ASCII(167)  ?
(2000: 7:19:13:39) - ASCII(168)  ?
(2000: 7:19:13:39) - ASCII(169)  ?
(2000: 7:19:13:39) - ASCII(170)  ?
(2000: 7:19:13:39) - ASCII(171)  ?
(2000: 7:19:13:39) - ASCII(172)  ?
(2000: 7:19:13:39) - ASCII(173)  ?
(2000: 7:19:13:39) - ASCII(174)  ?
(2000: 7:19:13:39) - ASCII(175)  ?
(2000: 7:19:13:39) - ASCII(176)  ?
